State_Abbrev,ObesityRate,Year
AK,31.9,2020
AK,33.5,2021
AK,32.1,2022
AK,35.2,2023
AL,39,2020
AL,39.9,2021
AL,38.3,2022
AL,39.2,2023
AR,36.4,2020
AR,38.7,2021
AR,37.4,2022
AR,40,2023
AZ,30.9,2020
AZ,31.3,2021
AZ,33.2,2022
AZ,31.9,2023
CA,30.3,2020
CA,27.6,2021
CA,28.1,2022
CA,27.7,2023
CO,24.2,2020
CO,25.1,2021
CO,25,2022
CO,24.9,2023
CT,29.2,2020
CT,30.4,2021
CT,30.6,2022
CT,29.4,2023
DC,24.3,2020
DC,24.7,2021
DC,24.3,2022
DC,23.5,2023
DE,36.5,2020
DE,33.9,2021
DE,37.9,2022
DE,35.7,2023
FL,28.4,2020
FL,,2021
FL,31.6,2022
FL,30.1,2023
GA,34.3,2020
GA,33.9,2021
GA,37,2022
GA,35,2023
GU,34.4,2020
GU,33.5,2021
GU,32.7,2022
GU,35.4,2023
HI,24.5,2020
HI,25,2021
HI,25.9,2022
HI,26.1,2023
IA,36.5,2020
IA,36.4,2021
IA,37.4,2022
IA,37.8,2023
ID,31.1,2020
ID,31.6,2021
ID,33.2,2022
ID,31,2023
IL,32.4,2020
IL,34.2,2021
IL,33.4,2022
IL,36,2023
IN,36.8,2020
IN,36.3,2021
IN,37.7,2022
IN,37.8,2023
KS,35.3,2020
KS,36,2021
KS,35.7,2022
KS,35.9,2023
KY,36.6,2020
KY,40.3,2021
KY,37.7,2022
KY,,2023
LA,38.1,2020
LA,38.6,2021
LA,40.1,2022
LA,39.9,2023
MA,24.4,2020
MA,27.4,2021
MA,27.2,2022
MA,27.4,2023
MD,31,2020
MD,34.3,2021
MD,33.2,2022
MD,34.1,2023
ME,31,2020
ME,31.9,2021
ME,33.1,2022
ME,32.6,2023
MI,35.2,2020
MI,34.4,2021
MI,34.5,2022
MI,35.4,2023
MN,30.7,2020
MN,32.4,2021
MN,33.6,2022
MN,33.3,2023
MO,34,2020
MO,37.3,2021
MO,36.4,2022
MO,35.3,2023
MS,39.7,2020
MS,39.1,2021
MS,39.5,2022
MS,40.1,2023
MT,28.5,2020
MT,31.8,2021
MT,30.5,2022
MT,30.5,2023
NC,33.6,2020
NC,36,2021
NC,34.1,2022
NC,34,2023
ND,33.1,2020
ND,35.2,2021
ND,35.4,2022
ND,35.6,2023
NE,34,2020
NE,35.9,2021
NE,35.3,2022
NE,36.6,2023
NH,29.9,2020
NH,30.6,2021
NH,30.2,2022
NH,32.8,2023
NJ,27.7,2020
NJ,28.2,2021
NJ,29.1,2022
NJ,28.9,2023
NM,30.9,2020
NM,34.6,2021
NM,32.4,2022
NM,35.3,2023
NV,28.7,2020
NV,31.3,2021
NV,33.5,2022
NV,30.8,2023
NY,26.3,2020
NY,29.1,2021
NY,30.1,2022
NY,28,2023
OH,35.5,2020
OH,37.8,2021
OH,38.1,2022
OH,36.4,2023
OK,36.4,2020
OK,39.4,2021
OK,40,2022
OK,38.7,2023
OR,28.1,2020
OR,30.4,2021
OR,30.9,2022
OR,33.6,2023
PA,31.5,2020
PA,33.3,2021
PA,33.4,2022
PA,,2023
PR,31.4,2020
PR,36,2021
PR,34.1,2022
PR,36,2023
RI,30.1,2020
RI,30.1,2021
RI,30.8,2022
RI,31.6,2023
SC,36.2,2020
SC,36.1,2021
SC,35,2022
SC,36,2023
SD,33.2,2020
SD,38.4,2021
SD,36.8,2022
SD,36,2023
TN,35.6,2020
TN,35,2021
TN,38.9,2022
TN,37.6,2023
TX,35.8,2020
TX,36.1,2021
TX,35.5,2022
TX,34.4,2023
UT,28.6,2020
UT,30.9,2021
UT,31.1,2022
UT,30.2,2023
VA,32.2,2020
VA,34.2,2021
VA,35.2,2022
VA,34.3,2023
VT,26.3,2020
VT,29,2021
VT,26.8,2022
VT,28.8,2023
WA,28,2020
WA,28.8,2021
WA,31.7,2022
WA,30.6,2023
WI,32.3,2020
WI,33.9,2021
WI,37.7,2022
WI,35.9,2023
WV,39.1,2020
WV,40.6,2021
WV,41,2022
WV,41.2,2023
WY,30.7,2020
WY,32,2021
WY,34.3,2022
WY,33.3,2023
